Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","8633","Yorkshire and The Humber","North East Lincolnshire","A1136","PU","526800","409500","A1243","A16","0.68","112","105","2959","227","381","56","7","4","4","4","3","77","3749"
"2000","8710","Yorkshire and The Humber","Sheffield","A621","PU","432000","380860","Hillfoot Rd, Totley","B6068","2.17","63","41","8737","227","799","123","12","36","12","16","13","211","10014"
"2000","8712","Yorkshire and The Humber","North East Lincolnshire","A180","PU","527500","410450","A180(T)","A1098/A46","2.17","138","229","18811","211","2902","469","104","37","92","141","183","1026","23180"
"2000","8743","Yorkshire and The Humber","North Yorkshire","A661","PR","434880","453780","LA Boundary","A658","4.72","24","137","16313","128","766","655","67","169","47","249","114","1301","18644"
"2000","8744","Yorkshire and The Humber","Sheffield","A61","PU","435356","386400","A621 Eyre St","A61 Shoreham St","0.25","8","14","2479","107","310","47","4","2","3","3","2","60","2971"
"2000","8745","Yorkshire and The Humber","Barnsley","A635","PU","434724","406962","Church Lane","A61","0.43","1","14","2184","10","183","23","3","1","1","2","1","30","2419"
"2000","8758","Yorkshire and The Humber","Sheffield","A61","PU","435770","386680","Shoreham St","Fornham St","0.12","4","7","571","66","79","12","2","1","1","2","1","19","742"
"2000","9050","Yorkshire and The Humber","Leeds","M621","TM","428954","431691","2","2A","0.43","0","20","4321","43","764","239","25","25","67","97","63","516","5664"
"2000","16007","Yorkshire and The Humber","Sheffield","M1","TM","438000","393350","34","35","2.98","0","241","79686","421","12429","5398","574","639","1576","4001","1981","14169","106948"
"2000","16008","Yorkshire and The Humber","Wakefield","M1","TM","430500","419000","39","40","2.61","0","275","70837","491","8832","4314","542","342","1201","3020","1901","11319","91754"
"2000","16036","Yorkshire and The Humber","East Riding of Yorkshire","M18","TM","468480","420010","LA Boundary","M62 / M18","1.3","0","25","11790","68","2136","707","127","128","432","1688","1249","4332","18351"
"2000","16053","Yorkshire and The Humber","Kirklees","M62","TM","413400","420460","LA Boundary","LA Boundary","2.36","0","130","59226","255","10738","2360","440","276","1787","4944","2943","12750","83098"
"2000","16054","Yorkshire and The Humber","Leeds","M62","TM","433800","425850","29","30","2.24","0","154","43097","178","9031","2009","364","426","1398","4505","2140","10841","63302"
"2000","16055","Yorkshire and The Humber","East Riding of Yorkshire","M62","TM","465002","420804","LA Boundary","35","4.16","0","111","37279","226","7340","3055","363","204","1405","5734","3626","14387","59343"
"2000","16058","Yorkshire and The Humber","North Lincolnshire","M180","TM","482000","407170","2","3","4.91","0","129","38899","140","5925","2902","367","410","1383","7120","4425","16606","61700"
"2000","16063","Yorkshire and The Humber","Doncaster","A1","TM","460070","393500","LA Boundary","2","4.66","0","490","48084","426","6992","3055","275","443","1805","5902","3966","15445","71437"
"2000","16081","Yorkshire and The Humber","North Yorkshire","A1","TR","448455","425000","LA Boundary","A1 spur Dish Hill Flyover","0.5","14","47","7754","76","1059","415","41","45","172","595","343","1612","10548"
"2000","16082","Yorkshire and The Humber","Leeds","A1","TR","441400","445000","A1 non-DBFO 150 m N of Spen Common Lane","A659","3.6","0","273","59347","350","10436","2624","467","479","2122","6404","3618","15714","86119"
"2000","16084","Yorkshire and The Humber","North Yorkshire","A1","TR","421600","506000","Scotch Corner","A1M/B6275","1.43","6","126","19018","190","2400","1186","151","99","546","1353","921","4256","25991"
"2000","16218","Yorkshire and The Humber","North Lincolnshire","A18","PU","488510","410000","Scotter Rd roundabout","A159","1.62","108","173","7676","45","563","125","18","20","44","233","141","581","9038"
"2000","16219","Yorkshire and The Humber","North Lincolnshire","A18","PR","498000","406950","B1207","B1206","1.62","32","149","6034","64","798","194","25","30","28","53","23","353","7398"
"2000","16220","Yorkshire and The Humber","North Lincolnshire","A18","PR","509652","411000","B1211","B1210","1.74","6","57","4079","22","564","118","13","27","46","59","46","309","5032"
"2000","16221","Yorkshire and The Humber","North Yorkshire","A19","PR","456000","422519","M62 JCT 34","A645","0.87","2","19","2324","10","461","76","37","75","46","181","93","508","3322"
"2000","16459","Yorkshire and The Humber","North East Lincolnshire","A46","PR","520000","405400","LA Boundary","A18","1.62","7","12","3133","59","485","105","14","14","14","22","13","182","3870"
